launch_name,date,success,rocket_id,payloads,launchpad_id
Boeing X-37B OTV-5,2017-09-07T13:50:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Iridium NEXT Mission 3,2017-10-09T12:37:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
SES-11 / Echostar 105,2017-10-11T22:53:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
KoreaSat 5A,2017-10-30T19:34:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
CRS-13,2017-12-15T15:36:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Iridium NEXT Mission 4,2017-12-23T01:27:23.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
ZUMA,2018-01-08T01:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Falcon Heavy Test Flight,2018-02-06T20:45:00.000Z,True,5e9d0d95eda69974db09d1ed,1,5e9e4502f509094188566f88
Paz / Starlink Demo,2018-02-22T14:17:00.000Z,True,5e9d0d95eda69973a809d1ec,2,5e9e4502f509092b78566f87
Hispasat 30W-6,2018-03-06T05:33:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
CRS-14,2018-04-02T20:30:41.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
TESS,2018-04-18T22:51:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Bangabandhu-1,2018-05-11T20:14:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,True,5e9d0d95eda69973a809d1ec,2,5e9e4502f509092b78566f87
SES-12,2018-06-04T04:45:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-15,2018-06-29T09:42:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Telstar 19V,2018-07-22T05:50:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Merah Putih,2018-08-07T05:18:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Telstar 18V,2018-09-10T04:45:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
SAOCOM 1A,2018-10-08T02:22:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Es’hail 2,2018-11-15T20:46:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
SSO-A,2018-12-03T18:34:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
CRS-16,2018-12-05T18:16:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
GPS III SV01,2018-12-23T13:51:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,True,5e9d0d95eda69973a809d1ec,3,5e9e4501f509094ba4566f84
CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
ArabSat 6A,2019-04-11T22:35:00.000Z,True,5e9d0d95eda69974db09d1ed,1,5e9e4502f509094188566f88
CRS-17,2019-05-04T06:48:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink v0.9,2019-05-24T02:30:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
RADARSAT Constellation,2019-06-12T14:17:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
STP-2,2019-06-25T03:30:00.000Z,True,5e9d0d95eda69974db09d1ed,16,5e9e4502f509094188566f88
CRS-18,2019-07-25T22:01:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Amos-17,2019-08-06T22:52:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-1,2019-11-11T14:56:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-19,2019-12-05T17:29:23.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
JCSat 18 / Kacific 1,2019-12-17T00:10:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-2,2020-01-07T02:19:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Crew Dragon In Flight Abort Test,2020-01-19T14:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-3,2020-01-29T14:06:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-4,2020-02-17T15:05:55.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-20,2020-03-07T04:50:31.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-5,2020-03-18T12:16:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-6,2020-04-22T19:30:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
CCtCap Demo Mission 2,2020-05-30T19:22:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink-7,2020-06-04T01:25:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-8 & SkySat 16-18,2020-06-13T09:21:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
GPS III SV03 (Columbus),2020-06-30T19:55:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
ANASIS-II,2020-07-20T21:30:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07T05:12:00.000Z,True,5e9d0d95eda69973a809d1ec,2,5e9e4502f509094188566f88
Starlink-10 (v1.0) & SkySat 19-21,2020-08-18T14:31:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30T23:18:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
